Stock,RS_Rating,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 week High
TREX,88,64.52,56.13,53.28,39.97999954223633,75.94999694824219
CDLX,99,8.01,6.4,6.17,2.5999999046325684,17.3799991607666
OMF,92,43.19,39.11,37.75,26.350568771362305,47.312007904052734
LGIH,75,131.33,117.98,111.83,76.1500015258789,140.7899932861328
FOR,88,24.14,18.85,17.61,10.430000305175781,31.030000686645508
NSSC,91,36.41,33.84,32.06,24.5457763671875,40.22999954223633
BLD,96,257.46,219.26,203.36,141.82000732421875,298.9599914550781
FICO,95,809.92,730.03,687.33,396.30999755859375,861.27001953125
PRGS,81,58.57,56.63,55.15,40.93775939941406,61.459999084472656
CMC,85,51.95,50.17,49.36,35.02626037597656,57.86000061035156
ZTS,90,173.37,169.82,164.03,130.2657012939453,192.0
POWL,92,62.97,50.03,44.75,20.06612777709961,85.54000091552734
LIN,77,374.14,354.36,345.84,261.4023132324219,391.0400085449219
KNSL,91,363.04,323.54,315.57,235.7541961669922,385.2200012207031
COHU,97,39.97,37.27,36.38,25.670000076293945,43.650001525878906
FOCS,71,52.34,50.62,47.09,30.649999618530273,52.59000015258789
WGO,94,65.35,61.37,60.11,50.83744812011719,69.27999877929688
LRCX,94,641.6,550.17,520.76,311.7857360839844,721.260009765625
TRI,88,128.92,121.93,118.02,94.17456817626953,138.1300048828125
KBH,93,51.14,42.83,39.64,25.096845626831055,54.81999969482422
TRU,88,77.05,69.39,66.68,50.73699951171875,83.51837158203125
TPX,89,41.45,39.65,37.49,23.931865692138672,46.290000915527344
LLY,88,454.13,392.11,383.95,293.9372253417969,526.22998046875
URI,82,426.72,404.17,387.56,257.25225830078125,485.08001708984375
ICLR,85,238.03,222.9,217.69,173.89999389648438,255.24000549316406
GOLF,86,53.66,50.17,48.8,41.906124114990234,59.630001068115234
MEDP,93,235.74,214.77,213.85,145.1300048828125,265.4700012207031
JBL,93,105.26,89.06,83.72,55.981956481933594,115.13999938964844
AMAT,92,141.24,124.15,118.04,73.86547088623047,152.6300048828125
BLDR,96,134.19,103.84,93.6,52.88999938964844,152.22000122070312
CMRE,90,9.67,9.43,9.34,7.631131172180176,11.597285270690918
FRPT,95,66.99,64.65,63.49,38.79999923706055,82.25
DHI,89,120.67,106.17,100.18,66.48735046386719,130.73406982421875
MFC,80,19.1,18.87,18.35,14.729461669921875,20.0
CTAS,85,491.92,462.06,456.56,378.47552490234375,516.52001953125
XPO,92,59.24,45.24,42.7,25.151514053344727,73.73999786376953
SLP,86,46.77,42.87,42.18,34.81645202636719,66.50678253173828
FLT,85,246.5,222.34,213.13,164.0,260.5
EHTH,95,8.29,7.97,6.94,2.680000066757202,10.09000015258789
CRMT,89,103.26,88.97,84.18,59.459999084472656,125.31999969482422
THO,91,101.64,90.02,87.59,67.38714599609375,115.95999908447266
FORM,96,33.18,30.3,28.34,18.190000534057617,37.15999984741211
MLM,83,441.94,386.69,376.5,297.2432861328125,462.239990234375
WEX,75,184.3,181.9,176.5,126.66999816894531,201.27000427246094
AME,83,156.12,146.44,143.94,111.25338745117188,161.8800048828125
LEN,89,122.16,109.52,103.36,70.6580810546875,133.24000549316406
ESNT,71,47.54,43.37,42.02,34.106937408447266,53.209999084472656
POOL,84,360.18,351.63,341.98,280.47210693359375,418.4026184082031
NTCO,98,6.81,5.67,5.43,3.759999990463257,7.659999847412109
SPNS,97,26.88,23.18,22.03,17.056941986083984,30.700000762939453
SITE,92,161.08,148.43,141.07,100.7699966430664,174.52999877929688
ACA,93,74.29,65.36,63.72,51.13632583618164,78.23999786376953
HELE,92,116.61,106.67,104.28,81.80000305175781,141.74000549316406
CVCO,93,283.8,283.75,268.93,201.5800018310547,317.739990234375
VRSK,81,226.42,201.57,195.19,164.5242462158203,237.00999450683594
GOOG,87,124.37,109.71,105.79,83.48999786376953,133.11000061035156
INTC,83,33.42,30.43,29.71,24.222204208374023,38.02916717529297
BFAM,82,92.48,83.27,79.32,55.75,98.4800033569336
GOOGL,86,123.8,109.1,105.26,83.43000030517578,132.72000122070312
JOE,87,51.45,45.47,43.23,31.085908889770508,64.55999755859375
ACAD,95,26.33,22.01,20.36,14.109999656677246,33.470001220703125
INTU,75,466.57,434.84,424.61,359.1992492675781,511.8399963378906
ROCK,93,61.83,54.84,53.33,37.130001068115234,74.12999725341797
QRVO,96,103.03,100.01,98.16,78.33999633789062,113.52999877929688
MAS,88,57.08,53.06,51.68,42.175682067871094,62.0099983215332
KGC,86,4.84,4.64,4.47,3.04184889793396,5.514270305633545
BDSI,88,4.91,3.94,3.88,2.559999942779541,5.59499979019165
IESC,94,55.72,46.93,43.53,25.93000030517578,69.5199966430664
SKX,85,52.64,49.19,46.75,31.719999313354492,56.11000061035156
KOP,87,34.7,33.54,32.21,20.302860260009766,38.970001220703125
BRO,87,67.56,62.06,60.83,53.24794006347656,72.35285186767578
